ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	KEGG_PATHWAY	OMIM_DISEASE	REACTOME_PATHWAY
KITLG	KIT ligand(KITLG)	Homo sapiens	"GO:0000165~MAPK cascade,GO:0001541~ovarian follicle development,GO:0001755~neural crest cell migration,GO:0002687~positive regulation of leukocyte migration,GO:0002763~positive regulation of myeloid leukocyte differentiation,GO:0007155~cell adhesion,GO:0007165~signal transduction,GO:0008283~cell proliferation,GO:0008584~male gonad development,GO:0014066~regulation of phosphatidylinositol 3-kinase signaling,GO:0033026~negative regulation of mast cell apoptotic process,GO:0035162~embryonic hemopoiesis,GO:0035234~ectopic germ cell programmed cell death,GO:0043406~positive regulation of MAP kinase activity,GO:0043547~positive regulation of GTPase activity,GO:0045636~positive regulation of melanocyte differentiation,GO:0045740~positive regulation of DNA replication,GO:0046579~positive regulation of Ras protein signal transduction,GO:0046854~phosphatidylinositol phosphorylation,GO:0048015~phosphatidylinositol-mediated signaling,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0070668~positive regulation of mast cell proliferation,GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand,GO:1902035~positive regulation of hematopoietic stem cell proliferation,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030027~lamellipodium,GO:0030175~filopodium,"	"GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005125~cytokine activity,GO:0005173~stem cell factor receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0046934~phosphatidylinositol-4,5-bisphosphate 3-kinase activity,"	"hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04640:Hematopoietic cell lineage,hsa04916:Melanogenesis,hsa05200:Pathways in cancer,"	"145250~Hyperpigmentation with or without hypopigmentation,611664~Skin/hair/eye pigmentation 7, blond/brown hair,616697~Deafness, congenital, unilateral or asymmetric,"	"R-HSA-1257604:R-HSA-1257604,R-HSA-1433557:R-HSA-1433557,R-HSA-1433559:R-HSA-1433559,R-HSA-2219530:R-HSA-2219530,R-HSA-5673001:R-HSA-5673001,"
S100A12	S100 calcium binding protein A12(S100A12)	Homo sapiens	"GO:0002548~monocyte chemotaxis,GO:0006805~xenobiotic metabolic process,GO:0006954~inflammatory response,GO:0030593~neutrophil chemotaxis,GO:0031640~killing of cells of other organism,GO:0042742~defense response to bacterium,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043406~positive regulation of MAP kinase activity,GO:0045087~innate immune response,GO:0045576~mast cell activation,GO:0050663~cytokine secretion,GO:0050729~positive regulation of inflammatory response,GO:0050832~defense response to fungus,GO:0051092~positive regulation of NF-kappaB transcription factor activity,"	"GO:0005576~extracellular region,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,"	"GO:0005507~copper ion binding,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0050786~RAGE receptor binding,"			"R-HSA-1810476:R-HSA-1810476,R-HSA-3134963:R-HSA-3134963,R-HSA-445989:R-HSA-445989,R-HSA-879415:R-HSA-879415,R-HSA-933542:R-HSA-933542,"
TNFRSF10B	TNF receptor superfamily member 10b(TNFRSF10B)	Homo sapiens	"GO:0006915~apoptotic process,GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0007166~cell surface receptor signaling pathway,GO:0007250~activation of NF-kappaB-inducing kinase activity,GO:0007275~multicellular organism development,GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors,GO:0032496~response to lipopolysaccharide,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0034976~response to endoplasmic reticulum stress,GO:0042127~regulation of cell proliferation,GO:0042981~regulation of apoptotic process,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,GO:0071260~cellular response to mechanical stimulus,GO:0097296~activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,GO:1902041~regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:1902042~negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,"	"GO:0005622~intracellular,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,"	"GO:0004872~receptor activity,GO:0005031~tumor necrosis factor-activated receptor activity,GO:0005515~protein binding,GO:0045569~TRAIL binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04210:Apoptosis,hsa04650:Natural killer cell mediated cytotoxicity,hsa05162:Measles,hsa05164:Influenza A,"	"275355~Squamous cell carcinoma, head and neck,"	"R-HSA-140534:R-HSA-140534,R-HSA-3371378:R-HSA-3371378,R-HSA-5213460:R-HSA-5213460,R-HSA-5218900:R-HSA-5218900,R-HSA-69416:R-HSA-69416,R-HSA-75158:R-HSA-75158,"
TNFRSF9	TNF receptor superfamily member 9(TNFRSF9)	Homo sapiens	"GO:0006915~apoptotic process,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007275~multicellular organism development,GO:0008285~negative regulation of cell proliferation,GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors,GO:0032496~response to lipopolysaccharide,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0042981~regulation of apoptotic process,GO:0070207~protein homotrimerization,GO:2001180~negative regulation of interleukin-10 secretion,GO:2001183~negative regulation of interleukin-12 secretion,"	"GO:0005615~extracellular space,GO:0005887~integral component of plasma membrane,GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,"	"GO:0004872~receptor activity,GO:0005031~tumor necrosis factor-activated receptor activity,GO:0019955~cytokine binding,"	"hsa04060:Cytokine-cytokine receptor interaction,"		
XPNPEP2	X-prolyl aminopeptidase 2(XPNPEP2)	Homo sapiens	"GO:0006508~proteolysis,"	"GO:0005886~plasma membrane,GO:0016020~membrane,GO:0031225~anchored component of membrane,GO:0070062~extracellular exosome,"	"GO:0004177~aminopeptidase activity,GO:0016787~hydrolase activity,GO:0046872~metal ion binding,GO:0070006~metalloaminopeptidase activity,"	"hsa04974:Protein digestion and absorption,"	"300909~Angioedema induced by ACE inhibitors, susceptibility to,"	
AGER	advanced glycosylation end-product specific receptor(AGER)	Homo sapiens	"GO:0001666~response to hypoxia,GO:0001914~regulation of T cell mediated cytotoxicity,GO:0006954~inflammatory response,GO:0007166~cell surface receptor signaling pathway,GO:0009611~response to wounding,GO:0014002~astrocyte development,GO:0031175~neuron projection development,GO:0032693~negative regulation of interleukin-10 production,GO:0032735~positive regulation of interleukin-12 production,GO:0042104~positive regulation of activated T cell proliferation,GO:0043507~positive regulation of JUN kinase activity,GO:0045087~innate immune response,GO:0050930~induction of positive chemotaxis,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051101~regulation of DNA binding,GO:0071639~positive regulation of monocyte chemotactic protein-1 production,GO:0072657~protein localization to membrane,GO:1904597~negative regulation of connective tissue replacement involved in inflammatory response wound healing,GO:1904604~negative regulation of advanced glycation end-product receptor activity,GO:2000514~regulation of CD4-positive, alpha-beta T cell activation,GO:2001200~positive regulation of dendritic cell differentiation,"	"GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,"	"GO:0004872~receptor activity,GO:0004888~transmembrane signaling receptor activity,GO:0005515~protein binding,GO:0008201~heparin binding,GO:0042802~identical protein binding,GO:0044548~S100 protein binding,GO:1904599~advanced glycation end-product binding,"			"R-HSA-1810476:R-HSA-1810476,R-HSA-3134963:R-HSA-3134963,R-HSA-445989:R-HSA-445989,R-HSA-879415:R-HSA-879415,R-HSA-933542:R-HSA-933542,"
AFM	afamin(AFM)	Homo sapiens	"GO:0051180~vitamin transport,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,"	"GO:0008431~vitamin E binding,"			
ALB	albumin(ALB)	Homo sapiens	"GO:0001895~retina homeostasis,GO:0002576~platelet degranulation,GO:0006810~transport,GO:0006898~receptor-mediated endocytosis,GO:0009267~cellular response to starvation,GO:0015721~bile acid and bile salt transport,GO:0019836~hemolysis by symbiont of host erythrocytes,GO:0042157~lipoprotein metabolic process,GO:0043066~negative regulation of apoptotic process,GO:0043069~negative regulation of programmed cell death,GO:0043252~sodium-independent organic anion transport,GO:0051659~maintenance of mitochondrion location,GO:0098869~cellular oxidant detoxification,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0031093~platelet alpha granule lumen,GO:0043209~myelin sheath,GO:0043234~protein complex,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,"	"GO:0003677~DNA binding,GO:0005504~fatty acid binding,GO:0005507~copper ion binding,GO:0005515~protein binding,GO:0008144~drug binding,GO:0015643~toxic substance binding,GO:0016209~antioxidant activity,GO:0019825~oxygen binding,GO:0030170~pyridoxal phosphate binding,GO:0042802~identical protein binding,GO:0051087~chaperone binding,"		"615999~Dysalbuminemic hyperthyroxinemia,616000~Analbuminemia,"	"R-HSA-114608:R-HSA-114608,R-HSA-159418:R-HSA-159418,R-HSA-194223:R-HSA-194223,R-HSA-2168880:R-HSA-2168880,R-HSA-5619058:R-HSA-5619058,R-HSA-5619110:R-HSA-5619110,R-HSA-879518:R-HSA-879518,"
AHSG	alpha 2-HS glycoprotein(AHSG)	Homo sapiens	"GO:0001501~skeletal system development,GO:0001503~ossification,GO:0002576~platelet degranulation,GO:0006907~pinocytosis,GO:0006953~acute-phase response,GO:0010951~negative regulation of endopeptidase activity,GO:0030500~regulation of bone mineralization,GO:0030502~negative regulation of bone mineralization,GO:0042326~negative regulation of phosphorylation,GO:0046627~negative regulation of insulin receptor signaling pathway,GO:0050727~regulation of inflammatory response,GO:0050766~positive regulation of phagocytosis,GO:0070168~negative regulation of biomineral tissue development,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0031012~extracellular matrix,GO:0031093~platelet alpha granule lumen,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,"	"GO:0004866~endopeptidase inhibitor activity,GO:0004869~cysteine-type endopeptidase inhibitor activity,GO:0019210~kinase inhibitor activity,"			"R-HSA-114608:R-HSA-114608,"
AZGP1	"alpha-2-glycoprotein 1, zinc-binding(AZGP1)"	Homo sapiens	"GO:0001580~detection of chemical stimulus involved in sensory perception of bitter taste,GO:0001895~retina homeostasis,GO:0007155~cell adhesion,GO:0008285~negative regulation of cell proliferation,GO:0019882~antigen processing and presentation,GO:0055085~transmembrane transport,GO:0071806~protein transmembrane transport,GO:0090501~RNA phosphodiester bond hydrolysis,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005886~plasma membrane,GO:0070062~extracellular exosome,"	"GO:0001948~glycoprotein binding,GO:0003823~antigen binding,GO:0004540~ribonuclease activity,GO:0005515~protein binding,GO:0008320~protein transmembrane transporter activity,"			"R-HSA-5223345:R-HSA-5223345,"
