Representative miRNA,Target gene,Representative transcript,Gene name,3P-seq tags + 5,Total sites,8mer sites,7mer-m8 sites,7mer-A1 sites,6mer sites,Cumulative weighted context++ score,Total context++ score,Aggregate PCT,"Previous TargetScan publication(s)
"
hsa-let-7d-5p,MYCN,ENST00000281043.3,v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog,73,2,0,0,2,0,-0.62,-0.66,0.98,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,GEMIN7,ENST00000270257.4,gem (nuclear organelle) associated protein 7,329,1,1,0,0,0,-0.62,-0.71,0.81,"2009, 2011
"
hsa-let-7d-5p,TARBP2,ENST00000552857.1,TAR (HIV-1) RNA binding protein 2,1553,2,0,1,1,0,-0.62,-0.62,0.7,"2009, 2011
"
hsa-let-7d-5p,RAB15,ENST00000436278.2,"RAB15, member RAS oncogene family",23,3,0,3,0,0,-0.62,-0.65,0.93,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,XRN1,ENST00000264951.4,5'-3' exoribonuclease 1,612,2,0,0,2,0,-0.61,-0.62,0.86,2011
hsa-let-7d-5p,ADRB2,ENST00000305988.4,"adrenoceptor beta 2, surface",50,1,1,0,0,0,-0.61,-0.65,0.73,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,DPH3,ENST00000488423.1,diphthamide biosynthesis 3,1281,1,1,0,0,1,-0.61,-0.77,0.96,2011
hsa-let-7d-5p,AC010441.1,ENST00000600109.1,0,3180,1,1,0,0,0,-0.6,-0.6,0.89,0
hsa-let-7d-5p,STX3,ENST00000535361.1,syntaxin 3,564,1,1,0,0,0,-0.59,-0.59,0.96,"2007, 2009, 2011
"
hsa-let-7d-5p,ADAMTS8,ENST00000257359.6,"ADAM metallopeptidase with thrombospondin type 1 motif, 8",80,1,1,0,0,0,-0.59,-0.59,0.96,"2007, 2009, 2011
"
hsa-let-7d-5p,APBB3,ENST00000358580.5,"amyloid beta (A4) precursor protein-binding, family B, member 3",9,1,1,0,0,0,-0.59,-0.59,0.74,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,MED8,ENST00000372457.4,mediator complex subunit 8,745,1,1,0,0,0,-0.59,-0.65,0.93,2011
hsa-let-7d-5p,CDC25A,ENST00000302506.3,cell division cycle 25A,5,3,0,2,1,0,-0.59,-0.59,0.8,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,CCND2,ENST00000261254.3,cyclin D2,66,3,0,0,3,1,-0.58,-0.7,> 0.99,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,E2F6,ENST00000362009.4,E2F transcription factor 6,70,1,1,0,0,1,-0.58,-0.65,0.96,"2007, 2009, 2011
"
hsa-let-7d-5p,FAS,ENST00000352159.4,Fas cell surface death receptor,378,1,1,0,0,1,-0.58,-0.58,0.73,2011
hsa-let-7d-5p,KLHDC8B,ENST00000332780.2,kelch domain containing 8B,321,1,1,0,0,0,-0.57,-0.57,0.95,"2009, 2011
"
hsa-let-7d-5p,UFM1,ENST00000239878.4,ubiquitin-fold modifier 1,1502,1,1,0,0,0,-0.57,-0.57,0.62,"2009, 2011
"
hsa-let-7d-5p,ZNF710,ENST00000268154.4,zinc finger protein 710,5,2,0,2,0,1,-0.57,-0.57,> 0.99,"2003, 2007, 2009, 2011
"
hsa-let-7d-5p,ATPAF1,ENST00000576409.1,ATP synthase mitochondrial F1 complex assembly factor 1,1637,2,1,1,0,0,-0.57,-0.66,0.94,"2009, 2011
"
hsa-let-7d-5p,GNPTAB,ENST00000299314.7,"N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits",82,1,1,0,0,0,-0.57,-0.57,0.96,"2007, 2009, 2011
"
hsa-let-7d-5p,CPEB2,ENST00000538197.1,cytoplasmic polyadenylation element binding protein 2,367,3,0,1,2,0,-0.57,-0.6,0.99,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,CPA4,ENST00000445470.2,carboxypeptidase A4,1319,1,1,0,0,1,-0.57,-0.57,0.92,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,PEX11B,ENST00000369306.3,peroxisomal biogenesis factor 11 beta,766,1,1,0,0,0,-0.56,-0.56,0.62,"2009, 2011
"
hsa-let-7d-5p,PQLC2,ENST00000375155.3,PQ loop repeat containing 2,94,2,1,0,1,1,-0.56,-0.68,0.96,"2009, 2011
"
hsa-let-7d-5p,SLC25A18,ENST00000327451.6,"solute carrier family 25 (glutamate carrier), member 18",115,1,1,0,0,0,-0.56,-0.56,0.93,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,TMEM234,ENST00000373593.1,transmembrane protein 234,51,1,1,0,0,0,-0.56,-0.56,0.85,"2009, 2011
"
hsa-let-7d-5p,NEK3,ENST00000339406.3,NIMA-related kinase 3,66,1,1,0,0,1,-0.56,-0.6,0.8,"2009, 2011
"
hsa-let-7d-5p,TTLL4,ENST00000457313.1,"tubulin tyrosine ligase-like family, member 4",303,2,1,1,0,0,-0.55,-0.87,0.98,"2003, 2005, 2007, 2009, 2011
"
hsa-let-7d-5p,KCTD17,ENST00000402077.3,potassium channel tetramerization domain containing 17,187,1,1,0,0,0,-0.55,-0.55,0.94,"2007, 2009, 2011
"
hsa-let-7d-5p,PBX2,ENST00000375050.4,pre-B-cell leukemia homeobox 2,98,2,0,1,1,0,-0.54,-0.54,> 0.99,2011
hsa-let-7d-5p,IGF2BP2,ENST00000382199.2,insulin-like growth factor 2 mRNA binding protein 2,5,2,1,0,1,0,-0.54,-0.54,0.98,"2007, 2009, 2011
"
hsa-let-7d-5p,EDN1,ENST00000379375.5,endothelin 1,113,1,1,0,0,0,-0.54,-0.54,0.86,"2009, 2011
"
hsa-let-7d-5p,SNX30,ENST00000374232.3,sorting nexin family member 30,33,3,0,1,2,1,-0.54,-0.6,0.97,"2009, 2011
"
hsa-let-7d-5p,IGSF1,ENST00000370900.1,"immunoglobulin superfamily, member 1",416,1,1,0,0,0,-0.54,-0.54,0.87,"2009, 2011
"
hsa-let-7d-5p,PTAR1,ENST00000377200.5,protein prenyltransferase alpha subunit repeat containing 1,161,3,0,0,3,1,-0.54,-0.63,0.98,"2009, 2011
"
hsa-let-7d-5p,ZNF341,ENST00000342427.2,zinc finger protein 341,10,1,1,0,0,0,-0.53,-0.53,< 0.1,2011
hsa-let-7d-5p,ONECUT2,ENST00000491143.2,one cut homeobox 2,847,6,1,1,4,1,-0.53,-0.61,> 0.99,"2007, 2009, 2011
"
hsa-let-7d-5p,B3GNT1,ENST00000311181.4,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1",2688,1,1,0,0,1,-0.53,-0.53,0.9,"2007, 2009, 2011
"
hsa-let-7d-5p,ZNF784,ENST00000591479.1,zinc finger protein 784,19,1,1,0,0,0,-0.52,-0.52,0.85,"2009, 2011
"
hsa-let-7d-5p,PRPF38B,ENST00000370025.4,pre-mRNA processing factor 38B,724,1,1,0,0,0,-0.52,-0.55,0.96,"2007, 2009, 2011
"
hsa-let-7d-5p,CASP3,ENST00000393585.2,"caspase 3, apoptosis-related cysteine peptidase",43,1,1,0,0,0,-0.52,-0.52,0.96,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,CLDN12,ENST00000287916.4,claudin 12,267,1,1,0,0,0,-0.52,-0.52,0.95,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,UHRF2,ENST00000276893.5,"ubiquitin-like with PHD and ring finger domains 2, E3 ubiquitin protein ligase",64,1,1,0,0,0,-0.52,-0.52,0.95,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,POU2F1,ENST00000367866.2,POU class 2 homeobox 1,83,2,0,0,2,3,-0.52,-0.56,0.98,2011
hsa-let-7d-5p,GAN,ENST00000568107.2,gigaxonin,185,5,4,0,1,0,-0.52,-0.61,> 0.99,2011
hsa-let-7d-5p,IL10,ENST00000423557.1,interleukin 10,5,1,0,0,1,2,-0.52,-0.52,0.95,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,GALE,ENST00000374497.3,UDP-galactose-4-epimerase,27,1,1,0,0,0,-0.52,-0.52,0.93,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,DDI2,ENST00000480945.1,DNA-damage inducible 1 homolog 2 (S. cerevisiae),357,1,1,0,0,1,-0.51,-0.53,0.96,"2007, 2009, 2011
"
hsa-let-7b-5p,MAPK6,ENST00000261845.5,mitogen-activated protein kinase 6,24,1,1,0,0,0,-0.51,-0.51,0.96,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,RSPO2,ENST00000517939.1,R-spondin 2,5,1,0,1,0,1,-0.51,-0.51,0.78,"2007, 2009, 2011
"
hsa-let-7b-5p,ZNF275,ENST00000370251.3,zinc finger protein 275,465,2,1,1,0,0,-0.51,-0.52,0.98,"2007, 2009, 2011
"
hsa-let-7d-5p,KCNJ11,ENST00000339994.4,"potassium inwardly-rectifying channel, subfamily J, member 11",282,2,1,1,0,0,-0.51,-0.53,0.86,"2009, 2011
"
hsa-let-7d-5p,LIN28A,ENST00000326279.6,lin-28 homolog A (C. elegans),5,1,1,0,0,0,-0.51,-0.51,0.96,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,S100A8,ENST00000368732.1,S100 calcium binding protein A8,5,1,0,0,1,0,-0.51,-0.51,0.8,2011
hsa-let-7d-5p,PCTP,ENST00000576183.1,phosphatidylcholine transfer protein,476,2,1,0,1,1,-0.5,-0.55,< 0.1,0
hsa-let-7d-5p,CCR7,ENST00000246657.2,chemokine (C-C motif) receptor 7,5,2,1,0,1,0,-0.5,-0.55,0.95,"2005, 2007, 2009, 2011
"
hsa-let-7b-5p,POLR2D,ENST00000272645.4,polymerase (RNA) II (DNA directed) polypeptide D,530,1,1,0,0,0,-0.5,-0.5,0.59,"2009, 2011
"
hsa-let-7d-5p,CPEB1,ENST00000450751.2,cytoplasmic polyadenylation element binding protein 1,5,1,1,0,0,0,-0.5,-0.5,0.95,"2007, 2009, 2011
"
hsa-let-7d-5p,AC008443.1,ENST00000599439.1,"CDNA: FLJ23158 fis, clone LNG09623; Uncharacterized protein",109,1,1,0,0,0,-0.5,-0.5,0.62,0
hsa-let-7b-5p,IGF1R,ENST00000268035.6,insulin-like growth factor 1 receptor,561,3,1,1,1,1,-0.5,-0.63,> 0.99,"2007, 2009, 2011
"
hsa-let-7d-5p,HTR1E,ENST00000305344.5,"5-hydroxytryptamine (serotonin) receptor 1E, G protein-coupled",5,1,0,1,0,0,-0.5,-0.5,0.41,"2009, 2011
"
hsa-let-7d-5p,CCNF,ENST00000397066.4,cyclin F,1432,1,1,0,0,0,-0.5,-0.51,0.94,"2009, 2011
"
hsa-let-7d-5p,LCOR,ENST00000371103.3,ligand dependent nuclear receptor corepressor,94,2,0,0,2,1,-0.49,-0.51,0.95,"2007, 2009, 2011
"
hsa-let-7d-5p,PPARGC1B,ENST00000309241.5,"peroxisome proliferator-activated receptor gamma, coactivator 1 beta",12,3,0,0,3,0,-0.49,-0.51,> 0.99,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,SKIL,ENST00000458537.3,SKI-like oncogene,210,3,1,0,2,0,-0.49,-0.77,> 0.99,0
hsa-let-7d-5p,PGRMC1,ENST00000217971.7,progesterone receptor membrane component 1,762,2,0,1,1,0,-0.49,-0.73,0.94,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,ZNF451,ENST00000370708.4,zinc finger protein 451,190,1,0,0,1,3,-0.49,-0.63,0.82,0
hsa-let-7b-5p,CEP135,ENST00000257287.4,centrosomal protein 135kDa,19,1,0,1,0,0,-0.49,-0.49,> 0.99,"2009, 2011
"
hsa-let-7d-5p,AIFM1,ENST00000535724.1,"apoptosis-inducing factor, mitochondrion-associated, 1",2582,4,1,1,2,0,-0.49,-0.77,< 0.1,0
hsa-let-7d-5p,MAP3K13,ENST00000448876.1,mitogen-activated protein kinase kinase kinase 13,226,1,1,0,0,0,-0.49,-0.49,0.72,0
hsa-let-7d-5p,GIPC1,ENST00000393029.3,"GIPC PDZ domain containing family, member 1",2934,1,1,0,0,1,-0.49,-0.49,0.95,"2007, 2009, 2011
"
hsa-let-7d-5p,DPP3,ENST00000360510.2,dipeptidyl-peptidase 3,189,1,1,0,0,0,-0.48,-0.48,0.84,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,COL27A1,ENST00000356083.3,"collagen, type XXVII, alpha 1",620,2,0,1,1,0,-0.48,-0.48,> 0.99,0
hsa-let-7d-5p,BEGAIN,ENST00000355173.2,brain-enriched guanylate kinase-associated,90,1,1,0,0,0,-0.48,-0.48,0.96,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,PIGU,ENST00000452740.2,"phosphatidylinositol glycan anchor biosynthesis, class U",355,1,1,0,0,0,-0.48,-0.48,ORF,0
hsa-let-7d-5p,AMT,ENST00000458307.2,aminomethyltransferase,63,1,1,0,0,0,-0.48,-0.48,0.76,2011
hsa-let-7d-5p,C20orf194,ENST00000453730.2,chromosome 20 open reading frame 194,1083,2,0,0,2,0,-0.48,-0.48,> 0.99,"2009, 2011
"
hsa-let-7d-5p,ACVR1C,ENST00000243349.8,"activin A receptor, type IC",27,1,1,0,0,0,-0.47,-0.47,0.96,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,SREK1IP1,ENST00000513458.4,SREK1-interacting protein 1,145,3,1,0,2,0,-0.47,-0.78,0.95,"2007, 2009, 2011
"
hsa-let-7d-5p,RGS16,ENST00000367558.5,regulator of G-protein signaling 16,7,2,0,1,1,1,-0.47,-0.63,0.98,"2005, 2007, 2009, 2011
"
hsa-let-7b-5p,LIMD2,ENST00000259006.3,LIM domain containing 2,90,4,0,4,0,0,-0.47,-0.88,0.97,"2007, 2009, 2011
"
hsa-let-7d-5p,MXD1,ENST00000264444.2,MAX dimerization protein 1,183,1,1,0,0,1,-0.47,-0.47,0.96,"2007, 2009, 2011
"
hsa-let-7d-5p,CPEB4,ENST00000265085.5,cytoplasmic polyadenylation element binding protein 4,472,2,0,0,2,0,-0.47,-0.47,0.98,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,LRIG2,ENST00000361127.5,leucine-rich repeats and immunoglobulin-like domains 2,348,1,1,0,0,0,-0.47,-0.47,0.96,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,TMEM178B,ENST00000565468.1,transmembrane protein 178B,129,3,0,1,2,0,-0.47,-0.47,0.95,2011
hsa-let-7d-5p,CNTRL,ENST00000373850.1,centriolin,9,1,1,0,0,0,-0.47,-0.47,0.4,"2009, 2011
"
hsa-let-7d-5p,POLR3D,ENST00000397802.4,"polymerase (RNA) III (DNA directed) polypeptide D, 44kDa",678,3,0,1,2,0,-0.47,-0.55,> 0.99,"2007, 2009, 2011
"
hsa-let-7b-5p,ISLR,ENST00000249842.3,immunoglobulin superfamily containing leucine-rich repeat,6,1,0,1,0,0,-0.47,-0.47,0.81,2011
hsa-let-7d-5p,UGCG,ENST00000374279.3,UDP-glucose ceramide glucosyltransferase,1200,2,0,1,1,0,-0.46,-0.48,0.8,0
hsa-let-7d-5p,ITGB3,ENST00000559488.1,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",176,2,0,1,1,2,-0.46,-0.46,> 0.99,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,PLEKHG7,ENST00000344636.3,"pleckstrin homology domain containing, family G (with RhoGef domain) member 7",5,1,1,0,0,0,-0.46,-0.46,0.88,"2009, 2011
"
hsa-let-7d-5p,RNF165,ENST00000269439.7,ring finger protein 165,18,2,1,0,1,1,-0.46,-0.46,0.89,"2007, 2009, 2011
"
hsa-let-7d-5p,FRMD4B,ENST00000398540.3,FERM domain containing 4B,12,2,2,0,0,0,-0.46,-0.75,0.96,"2009, 2011
"
hsa-let-7d-5p,FASLG,ENST00000340030.3,"Fas ligand (TNF superfamily, member 6)",5,1,1,0,0,0,-0.46,-0.46,0.94,2011
hsa-let-7d-5p,WNT9A,ENST00000272164.5,"wingless-type MMTV integration site family, member 9A",73,1,1,0,0,0,-0.45,-0.45,0.96,0
hsa-let-7d-5p,TMPPE,ENST00000416695.2,transmembrane protein with metallophosphoesterase domain,22,1,1,0,0,5,-0.45,-0.46,0.95,"2009, 2011
"
hsa-let-7d-5p,CPEB3,ENST00000412050.4,cytoplasmic polyadenylation element binding protein 3,48,2,0,0,2,0,-0.45,-0.45,0.98,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,PLA2G3,ENST00000215885.3,"phospholipase A2, group III",5,1,1,0,0,0,-0.45,-0.45,0.93,"2009, 2011
"
hsa-let-7d-5p,TET3,ENST00000409262.3,tet methylcytosine dioxygenase 3,1437,3,1,0,2,0,-0.45,-0.45,> 0.99,"2009, 2011
"
hsa-let-7d-5p,CCDC71L,ENST00000523505.1,coiled-coil domain containing 71-like,410,1,1,0,0,0,-0.45,-0.45,0.96,"2007, 2009, 2011
"
hsa-let-7d-5p,SMUG1,ENST00000505128.1,single-strand-selective monofunctional uracil-DNA glycosylase 1,242,1,1,0,0,0,-0.45,-0.45,0.87,"2009, 2011
"
hsa-let-7d-5p,ADRB3,ENST00000345060.3,adrenoceptor beta 3,5,1,1,0,0,0,-0.45,-0.45,0.96,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,NME4,ENST00000219479.2,NME/NM23 nucleoside diphosphate kinase 4,4249,1,0,1,0,0,-0.45,-0.45,0.87,"2003, 2005, 2007, 2009, 2011
"
hsa-let-7d-5p,CDKN1A,ENST00000244741.5,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)",1458,1,1,0,0,0,-0.45,-0.46,0.82,"2009, 2011
"
hsa-let-7d-5p,FAM214B,ENST00000378566.1,"family with sequence similarity 214, member B",8,1,1,0,0,0,-0.45,-0.45,0.92,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,SCN4B,ENST00000324727.4,"sodium channel, voltage-gated, type IV, beta subunit",13,2,2,0,0,0,-0.45,-0.45,0.95,2011
hsa-let-7d-5p,THRA,ENST00000450525.2,"thyroid hormone receptor, alpha",547,2,0,1,1,0,-0.44,-0.44,0.95,0
hsa-let-7d-5p,COL1A2,ENST00000297268.6,"collagen, type I, alpha 2",877,1,1,0,0,0,-0.44,-0.52,0.95,2011
hsa-let-7d-5p,DUSP22,ENST00000419235.2,dual specificity phosphatase 22,1330,1,1,0,0,1,-0.44,-0.44,0.96,0
hsa-let-7d-5p,POTEM,ENST00000551509.1,"POTE ankyrin domain family, member M",5,2,1,0,1,1,-0.44,-0.44,0.95,2011
hsa-let-7d-5p,EOGT,ENST00000383701.3,EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase,302,2,0,1,1,0,-0.44,-0.47,0.98,"2007, 2009, 2011
"
hsa-let-7d-5p,P4HA2,ENST00000401867.1,"prolyl 4-hydroxylase, alpha polypeptide II",1077,2,0,0,2,0,-0.44,-0.49,0.96,"2005, 2007, 2009
"
hsa-let-7d-5p,ZC3H3,ENST00000262577.5,zinc finger CCCH-type containing 3,35,1,1,0,0,0,-0.44,-0.44,0.95,"2007, 2009, 2011
"
hsa-let-7d-5p,TBKBP1,ENST00000361722.3,TBK1 binding protein 1,173,1,1,0,0,1,-0.44,-0.44,0.95,"2007, 2009, 2011
"
